;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
413;5.1;5.1;5.1;5.1;5.1;5.1;1
414;5.1;5.1;5.1;5.1;5.1;5.1;1
415;2.0;2.7;1.7;5.1;1.7;1.0;1
416;5.1;5.1;5.1;5.1;5.1;5.1;1
417;5.1;5.1;5.1;5.1;5.1;5.1;1
418;5.1;5.1;5.1;5.1;5.1;5.1;1
419;5.1;5.1;5.1;5.1;5.1;5.1;1
420;5.1;5.1;5.1;5.1;5.1;5.1;1
421;5.1;5.1;5.1;5.1;5.1;5.1;1
422;5.1;5.1;5.1;5.1;5.1;5.1;1
423;5.1;5.1;5.1;5.1;5.1;5.1;1
424;5.1;5.1;1.7;5.1;2.0;5.1;1
425;5.1;5.1;5.1;5.1;5.1;5.1;1
426;5.1;5.1;5.1;5.1;5.1;5.1;1
427;5.1;5.1;5.1;5.1;5.1;5.1;1
428;5.1;5.1;5.1;5.1;5.1;5.1;1
429;5.1;5.1;5.1;5.1;5.1;5.1;1
430;5.1;5.1;5.1;5.1;5.1;5.1;1
431;5.1;5.1;5.1;5.1;5.1;5.1;1
432;5.1;5.1;5.1;5.1;1.3;5.1;1
433;5.1;5.1;5.1;5.1;5.1;5.1;1
434;5.1;5.1;5.1;5.1;5.1;5.1;1
435;5.1;5.1;5.1;5.1;5.1;5.1;1
436;5.1;5.1;5.1;5.1;5.1;5.1;1
437;5.1;5.1;5.1;5.1;5.1;5.1;1
438;5.1;5.1;5.1;5.1;5.1;5.1;1
439;5.1;5.1;5.1;5.1;5.1;5.1;1
440;5.1;5.1;5.1;5.1;5.1;5.1;1
441;5.1;5.1;5.1;5.1;5.1;5.1;1
442;5.1;5.1;5.1;5.1;5.1;5.1;1
443;5.1;5.1;5.1;5.1;5.1;5.1;1
444;5.1;5.1;5.1;5.1;5.1;5.1;1
445;5.1;5.1;5.1;5.1;5.1;5.1;1
446;5.1;5.1;5.1;5.1;5.1;5.1;1
447;5.1;5.1;5.1;5.1;5.1;5.1;1
448;5.1;5.1;5.1;5.1;5.1;5.1;1
449;5.1;5.1;5.1;5.1;5.1;5.1;1
450;5.1;5.1;5.1;5.1;5.1;5.1;1
451;5.1;5.1;5.1;5.1;5.1;5.1;1
452;5.1;5.1;5.1;5.1;5.1;5.1;1
453;5.1;5.1;2.7;2.3;5.1;2.3;1
454;5.1;5.1;5.1;5.1;5.1;5.1;1
455;5.1;5.1;5.1;5.1;5.1;5.1;1
456;5.1;5.1;5.1;5.1;5.1;5.1;1
457;5.1;5.1;5.1;5.1;5.1;5.1;1
458;5.1;5.1;5.1;5.1;5.1;5.1;1
